         1746125780 function calls (1746010719 primitive calls) in 686.546 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  686.546  686.546 /home/malchemis/Workspace/PycharmProjects/DPLL/MyDavisPutnamOpt.py:264(main)
        1    0.000    0.000  686.546  686.546 /home/malchemis/Workspace/PycharmProjects/DPLL/MyDavisPutnamOpt.py:238(run_dp_on_files)
 115067/6   53.898    0.000  686.533  114.422 /home/malchemis/Workspace/PycharmProjects/DPLL/MyDavisPutnamOpt.py:118(dp)
 46361533   74.794    0.000  241.263    0.000 {built-in method builtins.any}
  1697465  239.907    0.000  239.907    0.000 /home/malchemis/Workspace/PycharmProjects/DPLL/MyDavisPutnamOpt.py:49(remove_value_from_clauses)
477437475   81.270    0.000  120.305    0.000 /home/malchemis/Workspace/PycharmProjects/DPLL/MyDavisPutnamOpt.py:156(<genexpr>)
 44529866   11.992    0.000   72.386    0.000 /home/malchemis/Workspace/PycharmProjects/DPLL/MyDavisPutnamOpt.py:138(<lambda>)
 44529866   16.974    0.000   60.393    0.000 /home/malchemis/Workspace/PycharmProjects/DPLL/MyDavisPutnamOpt.py:25(is_tautology)
743063456   60.264    0.000   60.264    0.000 {built-in method builtins.len}
  1724824   40.520    0.000   40.520    0.000 /home/malchemis/Workspace/PycharmProjects/DPLL/MyDavisPutnamOpt.py:60(remove_clauses_with_value)
   491392   19.607    0.000   33.394    0.000 /home/malchemis/Workspace/PycharmProjects/DPLL/MyDavisPutnamOpt.py:87(find_unit_clauses)
    57550   15.731    0.000   24.090    0.000 /home/malchemis/Workspace/PycharmProjects/DPLL/MyDavisPutnamOpt.py:71(find_pure_literals)
    57548   14.427    0.000   23.516    0.000 /home/malchemis/Workspace/PycharmProjects/DPLL/MyDavisPutnamOpt.py:97(find_best_literal)
161949794   21.523    0.000   21.523    0.000 /home/malchemis/Workspace/PycharmProjects/DPLL/MyDavisPutnamOpt.py:32(<genexpr>)
120505292   16.612    0.000   16.612    0.000 {method 'get' of 'dict' objects}
