         2335018368 function calls (2334709038 primitive calls) in 257.532 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  258.771  258.771 /home/malchemis/PycharmProjects/POC-Python-DPLL/main.py:30(main)
        1    0.005    0.005  258.769  258.769 /home/malchemis/PycharmProjects/POC-Python-DPLL/utils.py:68(run_dp_on_files)
309520/200    1.927    0.000  258.652    1.293 /home/malchemis/PycharmProjects/POC-Python-DPLL/dp_baseline.py:178(dp_default)
   597190   85.535    0.000   85.554    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dp_baseline.py:162(formulas_equal)
   310500    0.211    0.000   82.836    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dp_baseline.py:89(third_rule)
   310500    2.219    0.000   82.473    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dp_baseline.py:75(find_single_literal)
 67117090   37.074    0.000   80.307    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dp_baseline.py:64(exists_in_clauses)
    23760    0.057    0.000   58.927    0.002 /home/malchemis/PycharmProjects/POC-Python-DPLL/dp_baseline.py:118(fourth_rule)
    23760   48.393    0.002   58.076    0.002 /home/malchemis/PycharmProjects/POC-Python-DPLL/dp_baseline.py:102(find_superset_clauses)
1647030770   43.232    0.000   43.232    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dp_baseline.py:72(<genexpr>)
   596210    0.846    0.000   14.241    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dp_baseline.py:47(second_rule)
   606420    0.061    0.000   13.284    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dp_baseline.py:25(remove_value_from_clauses)
   596260    0.028    0.000   13.086    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dp_baseline.py:14(first_rule)
   596260    1.409    0.000   13.058    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dp_baseline.py:21(<listcomp>)
 53530090   11.984    0.000   11.984    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dp_baseline.py:33(<listcomp>)
 55133300   11.649    0.000   11.649    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dp_baseline.py:1(is_tautology)
481717310    9.477    0.000    9.477    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dp_baseline.py:112(<genexpr>)
    23340    0.078    0.000    1.988    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dp_baseline.py:143(fifth_rule)
   655610    0.093    0.000    1.875    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dp_baseline.py:36(remove_clauses_with_value)
   655610    1.782    0.000    1.782    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dp_baseline.py:44(<listcomp>)
    23760    0.794    0.000    0.794    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dp_baseline.py:126(<listcomp>)
24400757/24400754    0.256    0.000    0.256    0.000 {built-in function len}
    20482    0.206    0.000    0.206    0.000 {method 'append' of 'list' objects}
      200    0.051    0.000    0.102    0.001 /home/malchemis/PycharmProjects/POC-Python-DPLL/utils.py:42(read_cnf)
    46170    0.033    0.000    0.085    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:1455(debug)
    23340    0.008    0.000    0.060    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dp_baseline.py:129(find_non_single_literal)
    46211    0.052    0.000    0.052    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:1724(isEnabledFor)
      200    0.019    0.000    0.020    0.000 {built-in function _io.open}
    43600    0.010    0.000    0.010    0.000 {method 'add' of 'set' objects}
   134420    0.009    0.000    0.009    0.000 {method 'startswith' of 'str' objects}
       41    0.000    0.000    0.009    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:1467(info)
       41    0.000    0.000    0.008    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:1600(_log)
   309520    0.008    0.000    0.008    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/utils.py:17(increment)
       41    0.000    0.000    0.005    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:1626(handle)
       41    0.000    0.000    0.005    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:1680(callHandlers)
    43800    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
       41    0.000    0.000    0.005    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:955(handle)
       41    0.000    0.000    0.005    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:1088(emit)
       41    0.000    0.000    0.003    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:932(format)
       41    0.000    0.000    0.003    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:665(format)
       41    0.000    0.000    0.002    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:597(formatTime)
      200    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
       41    0.000    0.000    0.002    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:1585(makeRecord)
      200    0.001    0.000    0.002    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/codecs.py:319(decode)
        2    0.000    0.000    0.002    0.001 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/glob.py:13(glob)
       41    0.001    0.000    0.002    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:283(__init__)
       22    0.000    0.000    0.002    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/glob.py:53(_iglob)
       41    0.002    0.000    0.002    0.000 {built-in function time.localtime}
        2    0.000    0.000    0.002    0.001 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/glob.py:93(_glob1)
    43800    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
        2    0.000    0.000    0.001    0.001 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/fnmatch.py:54(filter)
       41    0.001    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      200    0.001    0.000    0.001    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/codecs.py:309(__init__)
    43600    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      441    0.001    0.000    0.001    0.000 {built-in function time.time}
      200    0.001    0.000    0.001    0.000 {built-in function _codecs.utf_8_decode}
