         45847068 function calls (45831328 primitive calls) in 3.874 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    3.874    3.874 /home/malchemis/PycharmProjects/POC-Python-DPLL/main.py:30(main)
        1    0.006    0.006    3.871    3.871 /home/malchemis/PycharmProjects/POC-Python-DPLL/utils.py:68(run_dp_on_files)
      200    0.002    0.000    3.754    0.019 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll.py:261(dpll)
15930/200    0.228    0.000    3.674    0.018 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll.py:281(dpll_helper)
 32190850    1.705    0.000    1.705    0.000 {method 'add' of 'set' objects}
   265630    0.627    0.000    1.507    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll.py:29(remove_value_from_clauses)
   268380    0.576    0.000    1.412    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll.py:48(remove_clauses_with_value)
    81290    0.004    0.000    0.208    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll.py:89(find_unit_clauses)
     9300    0.133    0.000    0.206    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll.py:68(find_pure_literals)
    81290    0.132    0.000    0.203    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll.py:96(<setcomp>)
      200    0.051    0.000    0.101    0.001 /home/malchemis/PycharmProjects/POC-Python-DPLL/utils.py:42(read_cnf)
     7200    0.094    0.000    0.094    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll.py:123(find_best_literal)
6265427/6265424    0.065    0.000    0.065    0.000 {built-in function len}
  3449075    0.052    0.000    0.052    0.000 {method 'get' of 'dict' objects}
      200    0.014    0.000    0.043    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll.py:18(first_rule)
      200    0.034    0.000    0.034    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll.py:99(fourth_rule)
    43570    0.002    0.000    0.029    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll.py:25(<lambda>)
    43570    0.020    0.000    0.027    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll.py:7(is_tautology)
     9300    0.021    0.000    0.021    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll.py:83(<setcomp>)
      200    0.020    0.000    0.021    0.000 {built-in function _io.open}
  1595310    0.020    0.000    0.020    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/utils.py:32(set_changed)
   268580    0.012    0.000    0.018    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:1455(debug)
       41    0.000    0.000    0.009    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:1467(info)
       41    0.000    0.000    0.009    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:1600(_log)
   134420    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
   174280    0.007    0.000    0.007    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll.py:14(<genexpr>)
   268621    0.006    0.000    0.006    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:1724(isEnabledFor)
       41    0.000    0.000    0.006    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:1626(handle)
       41    0.000    0.000    0.005    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:1680(callHandlers)
       41    0.000    0.000    0.005    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:955(handle)
    43800    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
       41    0.000    0.000    0.005    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:1088(emit)
       41    0.000    0.000    0.003    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:932(format)
   251930    0.003    0.000    0.003    0.000 {built-in function next}
       41    0.000    0.000    0.003    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:665(format)
   251930    0.003    0.000    0.003    0.000 {built-in function iter}
       41    0.000    0.000    0.003    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:597(formatTime)
      200    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
      200    0.001    0.000    0.002    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/codecs.py:319(decode)
        2    0.000    0.000    0.002    0.001 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/glob.py:13(glob)
       41    0.000    0.000    0.002    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:1585(makeRecord)
       22    0.000    0.000    0.002    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/glob.py:53(_iglob)
       41    0.001    0.000    0.002    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:283(__init__)
       41    0.002    0.000    0.002    0.000 {built-in function time.localtime}
        2    0.000    0.000    0.002    0.001 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/glob.py:93(_glob1)
        2    0.000    0.000    0.001    0.001 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/fnmatch.py:54(filter)
      200    0.001    0.000    0.001    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/codecs.py:309(__init__)
     2030    0.001    0.000    0.001    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/utils.py:38(__bool__)
    43800    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      441    0.001    0.000    0.001    0.000 {built-in function time.time}
       41    0.001    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      200    0.001    0.000    0.001    0.000 {built-in function _codecs.utf_8_decode}
        1    0.000    0.000    0.001    0.001 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/fnmatch.py:44(_compile_pattern)
    43600    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.001    0.001 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/re.py:249(compile)
        1    0.000    0.000    0.001    0.001 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/re.py:288(_compile)
       41    0.000    0.000    0.001    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:1549(findCaller)
        1    0.000    0.000    0.001    0.001 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/sre_compile.py:783(compile)
    16130    0.001    0.000    0.001    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/utils.py:29(__init__)
        1    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/sre_parse.py:944(parse)
    15930    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/utils.py:17(increment)
       41    0.000    0.000    0.000    0.000 {built-in function time.strftime}
      2/1    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/sre_parse.py:436(_parse_sub)
        2    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/glob.py:162(_listdir)
      200    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/utils.py:14(__init__)
      2/1    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/sre_parse.py:494(_parse)
       41    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:1077(flush)
       41    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/posixpath.py:140(basename)
       22    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/glob.py:128(_iterdir)
       41    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:649(formatMessage)
       41    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/posixpath.py:117(splitext)
       20    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/posixpath.py:71(join)
      200    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/codecs.py:260(__init__)
       41    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:438(format)
        1    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/sre_compile.py:622(_code)
       89    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
       41    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:431(_format)
       82    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:912(acquire)
       63    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/posixpath.py:41(_get_sep)
       41    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:643(usesTime)
        2    0.000    0.000    0.000    0.000 {built-in function posix.scandir}
      142    0.000    0.000    0.000    0.000 {built-in function isinstance}
       22    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/glob.py:96(<genexpr>)
       22    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/glob.py:215(_ishidden)
       41    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/genericpath.py:121(_splitext)
       41    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/encodings/utf_8.py:19(encode)
       41    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:160(<lambda>)
       41    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:119(getLevelName)
      123    0.000    0.000    0.000    0.000 {built-in function hasattr}
       41    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:423(usesTime)
       82    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:919(release)
        1    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/fnmatch.py:80(translate)
        1    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/sre_compile.py:560(_compile_info)
      3/1    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/sre_compile.py:87(_compile)
       41    0.000    0.000    0.000    0.000 {built-in function posix.getpid}
       43    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/posixpath.py:52(normcase)
       82    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:806(filter)
        2    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/functools.py:460(_make_key)
       41    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/logging/__init__.py:359(getMessage)
       84    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      125    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       10    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/sre_parse.py:255(get)
       41    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/threading.py:1430(current_thread)
       20    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/sre_parse.py:165(__getitem__)
       13    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/sre_parse.py:234(__next)
      147    0.000    0.000    0.000    0.000 {built-in function posix.fspath}
       41    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/posixpath.py:100(split)
        2    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/functools.py:453(__init__)
      3/1    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/sre_parse.py:175(getwidth)
       41    0.000    0.000    0.000    0.000 {built-in function _codecs.utf_8_encode}
        6    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/glob.py:208(has_magic)
       20    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       41    0.000    0.000    0.000    0.000 {built-in function sys._getframe}
       84    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       62    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       41    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        4    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/re.py:269(escape)
        2    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/glob.py:26(iglob)
      2/1    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/sre_compile.py:485(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/enum.py:992(__and__)
       41    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/threading.py:1129(name)
        2    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/sre_parse.py:356(_escape)
       82    0.000    0.000    0.000    0.000 {built-in function _thread.get_ident}
       89    0.000    0.000    0.000    0.000 {built-in function _imp.acquire_lock}
        7    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/sre_parse.py:173(append)
        4    0.000    0.000    0.000    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/sre_parse.py:287(tell)
