         23674082 function calls (23667002 primitive calls) in 3.069 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    3.069    3.069 /home/malchemis/PycharmProjects/POC-Python-DPLL/main.py:30(main)
        1    0.006    0.006    3.068    3.068 /home/malchemis/PycharmProjects/POC-Python-DPLL/utils.py:68(run_dp_on_files)
      200    0.011    0.000    2.899    0.014 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll_watchers.py:377(dpll)
 7270/200    0.140    0.000    2.803    0.014 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll_watchers.py:227(solve_dpll)
    16280    0.188    0.000    1.625    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll_watchers.py:317(assign_lit)
   116840    0.515    0.000    0.879    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll_watchers.py:131(assign_literal)
   124720    0.461    0.000    0.593    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll_watchers.py:85(has_empty_clause)
    13630    0.064    0.000    0.506    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll_watchers.py:342(_save_state)
  1698070    0.214    0.000    0.326    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll_watchers.py:197(update_freq_occ)
    13630    0.273    0.000    0.273    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll_watchers.py:352(<listcomp>)
     7170    0.056    0.000    0.257    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll_watchers.py:108(pick_branch_literal)
15416187/15416184    0.185    0.000    0.185    0.000 {built-in function len}
      200    0.105    0.001    0.153    0.001 /home/malchemis/PycharmProjects/POC-Python-DPLL/utils.py:42(read_cnf)
   291530    0.019    0.000    0.143    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/heapq.py:130(heappush)
   298700    0.122    0.000    0.122    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/pypy/lib/pypy3.10/heapq.py:205(_siftdown)
    13630    0.086    0.000    0.086    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll_watchers.py:357(<listcomp>)
      200    0.004    0.000    0.084    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll_watchers.py:26(__init__)
     7240    0.056    0.000    0.079    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll_watchers.py:292(unit_propagation)
      200    0.057    0.000    0.070    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/dpll_watchers.py:52(_init_data_structures)
  1698070    0.064    0.000    0.064    0.000 {built-in function max}
