         1174178067 function calls (1174063006 primitive calls) in 459.012 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  459.011  459.011 /home/malchemis/PycharmProjects/POC-Python-DPLL/DavisPutnamCleanedOptimized.py:256(main)
        1    0.006    0.006  459.011  459.011 /home/malchemis/PycharmProjects/POC-Python-DPLL/DavisPutnamCleanedOptimized.py:230(run_dp_on_files)
 115067/6   47.962    0.000  458.979   76.497 /home/malchemis/PycharmProjects/POC-Python-DPLL/DavisPutnamCleanedOptimized.py:127(dp)
  1697465  181.694    0.000  181.694    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/DavisPutnamCleanedOptimized.py:50(remove_value_from_clauses)
 46361533   51.549    0.000  109.118    0.000 {built-in method builtins.any}
 44529866    8.870    0.000   55.849    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/DavisPutnamCleanedOptimized.py:147(<lambda>)
 44529866   14.362    0.000   46.979    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/DavisPutnamCleanedOptimized.py:25(is_tautology)
477437475   33.898    0.000   33.898    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/DavisPutnamCleanedOptimized.py:165(<genexpr>)
  1724824   32.702    0.000   32.702    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/DavisPutnamCleanedOptimized.py:62(remove_clauses_with_value)
   491392   15.946    0.000   26.085    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/DavisPutnamCleanedOptimized.py:94(find_unit_clauses)
    57550   12.213    0.000   18.858    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/DavisPutnamCleanedOptimized.py:74(find_pure_literals)
    57548   11.307    0.000   18.506    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/DavisPutnamCleanedOptimized.py:106(find_best_literal)
161949794   16.694    0.000   16.694    0.000 /home/malchemis/PycharmProjects/POC-Python-DPLL/DavisPutnamCleanedOptimized.py:32(<genexpr>)
120505292   13.230    0.000   13.230    0.000 {method 'get' of 'dict' objects}
